id,title,utm_type,url,createdAt
0,"寵物保險需求爆了！背後原因是愛寵？安全焦慮才是關鍵！","0","https://www.sowork.tw/post/pet-insurance-boom-tariff-safety-demand-south-asia",2025-05-05T16:00:26.517Z
1,"年成長破16%、歐美非需求暴增！為何全世界都想買旅遊保險？","2","https://www.sowork.tw/post/export-market-shift-travel-insurance-trend-2025",2025-05-05T16:53:30.029Z
